Timestamp,In which country are you currently located?,In which city are you currently located?,How old are you?,What is your gender?,"During your daytime activities, how much of a problem do you have with sleepiness?",What time do you try to go to sleep?,What is the main reason you go to bed at this time on weekdays?,How long does it take you to fall asleep?,What time do you wake up?,What is the main reason you wake up at this time on weekdays?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,What external factors influenced how well you slept last night?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap during each weekday?",What time does your (school) day start?,What time do you try to go to sleep?,How long does it take you to fall asleep?,What time do you wake up?,Are you free to wake up when you want on weekends?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap each Saturday and Sunday?",How many caffeinated drinks do you have during the day?,What time do you have your last caffeinated drink?,"Each weekday, how many hours on average do you use technology (outside of school)?",How often do you use technology during the last hour before you go to sleep?,How often do you use technology after you have gone to bed?,How often do you wake up at night from notifications?,How many days did you do sport/physical activity in the morning before school?,How many days did you do sport/physical activity in the afternoon after school?,How many days did you do sport/physical activity in the evening on school days?,How many days did you do sport/physical activity on the weekend?,"If you did not have your sports or physical activity, would you go to bed earlier or later?","If you did not have your sports or physical activity, would you wake up earlier or later?",How many days did you study/do homework in the morning before school?,How many days did you study/do homework in the afternoon after school?,How many days did you study/do homework in the evening on days that you have school?,How many days did you study/do homework on the weekend?,How many hours did you study/do homework?,How often have you arrived late to class because you overslept?,"Currently, what are your grades in school mostly?","If you compare yourself to other people your age, how would you describe your health?",How often do I go to bed and think about things I need to do?,How often do I go to bed and replay the day’s events over and over in my mind?,How often do I check my clock several times during the night?,"During the 1 hour before bedtime, how often do things happen that make me feel strong emotions?",How often do I go to bed feeling upset?,How often do I go to bed and worry about things happening at home or at school?
01/06/2021 07:24:37,Australia,Perth,29,,2,22,I get home from my job,45,6,My alarm clock wakes me up,30,3,,2,0,7,23,45,7,No,30,3,2,10,2,3,5-6 hours,5,0,1,0,0,2,2,The same as you usually do,The same as you usually do,2,0,4,2,50,Never,A’s and B’s,3,3,2,2,2,1,2
07/06/2021 23:33:43,Australia,Perth,43,Female,0,22,I feel sleepy,10,5.5,My alarm clock wakes me up,40,3,,3,0,8,22.5,5,6.5,Yes,30,3,4,30,,,1-2 hours,1,1,0,3,1,,1,The same as you usually do,The same as you usually do,,,,,,,,,,,,,,
08/06/2021 07:49:50,Australia,Perth,28,Male,1,23,I feel sleepy,15,7,My alarm clock wakes me up,60,3,,3,0,8,1,15,7.5,Yes,60,3,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2021 08:12:38,Australia,Perth,28,Male,1,23,I feel sleepy,15,7,My alarm clock wakes me up,30,3,,3,0,8,1,15,7.5,Yes,60,3,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2021 08:14:37,Australia,perth,40,Female,1,22.5,Other,20,6.5,My parent/carer or another family member wakes me up,30,3,,2,0,9,22.5,20,7,Yes,30,3,2,0,6,21.5,1-2 hours,4,3,0,0,0,0,0,The same as you usually do,The same as you usually do,0,5,5,2,20,Never,A’s and B’s,2,4,4,4,2,1,3
23/06/2021 00:58:42,Australia,Perth,58,Female,1,22,I get home from my job,30,6,My alarm clock wakes me up,45,3,Family/people disturbance,2,0,8,23,30,7,No,45,3,3,30,2,15,3-4 hours,4,1,2,0,2,0,1,The same as you usually do,The same as you usually do,0,4,4,2,24,Twice,A’s and B’s,2,3,2,2,1,1,2
26/06/2021 14:16:46,United States,Indianapolis,15,Male,1,21.5,My parent / carer has set my bedtime,15,7,My parent/carer or another family member wakes me up,5,4,Pet disturbance,4,0,8,23,30,9,Yes,0,4,4,0,1,12,5-6 hours,5,5,1,0,4,1,2,The same as you usually do,The same as you usually do,1,1,4,1,10,Twice,A’s and B’s,4,2,2,1,1,1,1
26/06/2021 14:22:18,United States,Indianapolis,18,Male,0,23,I finish my homework,10,7,My parent/carer or another family member wakes me up,0,4,Room too hot/cold,4,0,8,0,15,9,Yes,5,5,4,0,1,13,5-6 hours,5,5,2,0,4,2,2,The same as you usually do,The same as you usually do,0,0,4,2,16,Once,A’s,4,2,1,0,1,1,1
28/06/2021 13:46:03,Australia,Melbourne,16,Male,0,23,I finish socialising,15,7.5,My parent/carer or another family member wakes me up,0,5,None,5,0,8.5,0,5,10,Yes,0,5,5,0,3,15,3-4 hours,5,4,1,0,5,2,2,The same as you usually do,The same as you usually do,0,3,4,1,10,Several Times,B’s,4,1,1,0,1,0,0
29/06/2021 03:23:35,Australia,Melbourne,13,Female,0,21.5,My TV shows are over,10,7,My parent/carer or another family member wakes me up,0,4,None,4,0,8,22.5,10,9,Yes,5,4,5,0,1,13,3-4 hours,2,2,1,0,3,2,1,Later than you usually do,Earlier than you usually do,0,0,4,1,12,Never,A’s,4,1,1,0,2,1,1
29/06/2021 15:36:00,Australia,Perth,47,Female,1,22.5,Other,10,5.5,My alarm clock wakes me up,5,4,Pet disturbance,4,0,8,10.5,10,6.5,No,5,4,4,0,1,10.5,1-2 hours,3,2,1,3,2,,1,Later than you usually do,Later than you usually do,5,,5,2,15,Twice,A’s and B’s,4,3,3,2,2,1,1
30/06/2021 00:40:20,Australia,Melbourne,49,Non-binary,1,22,Other,2,6,Noises or my pet wakes me up,15,3,Other,3,0,8.5,22,2,6,Yes,15,3,2,0,3,15,7-8 hours,5,5,0,,,,,,,,,,,,,,,,,,,,
30/06/2021 01:34:59,Germany,Aschaffenburg,8,Female,0,20.5,My parent / carer has set my bedtime,10,7,My parent/carer or another family member wakes me up,0,5,None,5,0,8,21.5,10,8,Yes,0,5,5,0,0,,1-2 hours,1,0,0,0,2,0,2,The same as you usually do,The same as you usually do,0,4,0,0,5,Never,A’s and B’s,4,0,0,0,1,0,1
30/06/2021 01:46:50,Germany,Aschaffenburg,42,Female,0,22,I feel sleepy,20,6,My alarm clock wakes me up,15,4,Noises outside your home,4,0,7,0,10,8,Yes,5,4,4,0,5,18,3-4 hours,3,1,1,2,0,0,2,Later than you usually do,Earlier than you usually do,4,0,3,0,14,Never,A’s and B’s,4,3,1,1,1,1,2
30/06/2021 01:52:48,Germany,Aschaffenburg,50,Male,0,23,My TV shows are over,5,6,"I don’t know, I just wake up",0,5,None,4,0,7,0,5,7,Yes,0,4,4,15,4,18,5-6 hours,5,1,1,0,2,0,2,The same as you usually do,Earlier than you usually do,5,5,5,2,20,Never,B’s,3,3,1,1,1,1,2
30/06/2021 01:57:52,Germany,Volkersbrunn,80,Female,1,20.5,I feel sleepy,30,6,"I don’t know, I just wake up",20,3,Other,3,30,7,22,20,7,Yes,20,3,3,60,4,18,1-2 hours,1,0,0,5,0,0,1,Later than you usually do,Earlier than you usually do,0,0,0,0,0,Never,B’s and C’s,3,3,2,1,1,1,3
30/06/2021 12:42:23,United Kingdom,Hemel Hempstead,58,Male,0,22,My TV shows are over,15,5,I need to go to the bathroom,10,3,None,3,0,9,22,15,5,Yes,10,3,3,0,2,11,5-6 hours,0,0,0,0,0,0,2,The same as you usually do,The same as you usually do,0,0,0,0,0,Never,A’s,3,0,1,1,1,,
04/07/2021 12:10:32,Australia,Newcastle,35,Female,2,21.5,I feel sleepy,5,8,I need to go to the bathroom,5,4,Phone/technology noise or light,3,30,9.5,22,5,9,Yes,5,4,3,60,3,15.5,5-6 hours,5,2,2,0,2,0,1,Later than you usually do,The same as you usually do,0,0,0,0,0,Several Times,B’s and C’s,2,2,3,1,3,2,3
13/08/2021 05:55:23,Australia,Perth,15,Female,2,21.5,My parent / carer has set my bedtime,30,6.5,My alarm clock wakes me up,30,4,Family/people disturbance,2,0,8.5,22.5,30,10.5,Yes,90,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
